Name,Olympian Years,Sport,Education,Hometown,Age,Gold,Silver,Bronze
Suni Lee,"Olympian 2020, 2024",Gymnastics,Auburn University ‘25,"Saint Paul, MN",23,2,1,3
Ilona Maher,"Olympian 2020, 2024",Rugby,Quinnipiac University,"Burlington, VT",29,0,0,1
Michael Phelps,"Olympian 2000, 2004, 2008, 2012, 2016",Swimming,"Towson High School (Towson, Md.) ’03 University of Michigan","Towson, MD",40,23,3,2
Sha'Carri Richardson,Olympian 2024,Track and Field,Louisiana State University,"Dallas, TX",26,1,1,0
Claressa Shields,"Olympian 2012, 2016",Boxing,Flint Northwestern High School,"Flint, MI",31,2,0,0
Mikaela Shiffrin,"Olympian 2014, 2018, 2022, 2026",Qualified | Milano Cortina 2026,Alpine Skiing,Burke Mountain Academy,"Edwards, CO",3,1,0
Gabby Thomas,"Olympian 2020, 2024",Track and Field,Harvard University,"Atlanta, GA",29,3,1,1
Shaun White,"Olympian 2006, 2010, 2014, 2018, 2022",Snowboarding,"Carlsbad High School (Carlsbad, Calif.)","Carlsbad, CA",39,3,0,0
Jackson Lacombe,Olympian 2026,Qualified | Milano Cortina 2026,Ice Hockey,"Eden Prairie, MN",25,1,0,0
Brianna Schnorrbusch,Olympian 2026,Qualified | Milano Cortina 2026,Snowboarding,"Monroe Township, NJ",20,3,2,0
Paxten Aaronson,Olympian 2024,Soccer,"Medford, NJ",22,Head Shot,0,0,0
Mara Abbott,Olympian 2016,Cycling,"Fairview High School (Boulder, Colo.) ‘04 Whitman College ‘08, Economics","Boulder, CO",40,0,0,0
Jeremy Abbott,"Olympian 2010, 2014",Figure Skating,"Aspen, CO",40,Number of olympic medals this Athlete has won,0,0,1
Monica Abbott,"Olympian 2008, 2020",Softball,North Salinas High School Tennessee - 2007,"Salinas, CA",40,0,2,0
Nia Abdallah,Olympian 2004,Taekwondo,"George Washington Carver High School for Applied Technology, Engineering and the Arts American Sports University","Houston, TX",42,0,1,0
Justin Abdelkader,Olympian 2022,Ice Hockey,Michigan State University,"Muskegon, MI",39,0,0,0
Abdi Abdirahman,"Olympian 2000, 2004, 2008, 2012, 2020",Track and Field,"Tucson High School (Tucson, Ariz.) '95 Pima Community College ’97; University of Arizona ‘01, Retail and Consumer Study","Tucson, AZ",49,0,0,0
Hakeem Abdul-Saboor,"Olympian 2018, 2022",Bobsled,University of Virginia at Wise,"Powhatan, VA",38,0,0,0
Brooke Abel,Olympian 2008,Artistic Swimming,Fallbrook,38,Mia Abello,0,0,0
Katelyn Abeln,Olympian 2024,Shooting,Ohio State University,"Douglasville, GA",25,0,1,0
Nick Abruzzese,Olympian 2022,Ice Hockey,"Harvard University ‘23, Psychology","Slate Hill, NY",26,0,0,0
Amy Acuff,"Olympian 1996, 2000, 2004, 2008, 2012",Track and Field,University of California--Los Angeles,Isleton,50,0,1,0
Rachael Adams,Olympian 2016,Volleyball,"Mount Notre Dame (Cincinnati, Ohio) University of Texas","Cincinnati, OH",35,0,0,1
Cammile Adams,"Olympian 2012, 2016",Swimming,"Cypress Woods High School (Cypress, Texas) ‘10 Texas A&M University ‘14, Education","Cypress, TX",34,0,0,0
Bam Adebayo,"Olympian 2020, 2024",Basketball,University of Kentucky,"Newark, NJ",28,2,0,0
Seun Adigun,"Olympian 2012, 2018",Bobsled,"Evanston, IL",39,Head Shot,0,0,0
Brad Adkins,Olympian 2016,Track and Field,"Idalou High School (Idalou, Texas.) ‘12 Texas Tech University ’16, Wind Energy","Idalou, TX",32,0,0,0
Nathan Adrian,"Olympian 2008, 2012, 2016",Swimming,"Bremerton High School (Bremerton, Wash.) ‘06 University of California – Berkeley ‘12, Public Health","Bremerton, WA",37,5,1,2
Freddy Adu,Olympian 2008,Soccer,Potomac,36,Head Shot,0,0,0
Kenny Agostino,Olympian 2022,Ice Hockey,"Delbarton High School (Morristown, N.J.) ‘10 Yale University ‘14, Political Science","Morristown, NJ",34,0,0,0
Ali Aguilar,Olympian 2020,Softball,Washington - 2017,"Orangevale, CA",30,0,1,0
Mason Aguirre,Olympian 2006,Mammoth,38,Head Shot,Nike Agunbiade,0,0,0
Robyn Ah Mow,"Olympian 2000, 2004, 2008",Volleyball,Hawaii ('96; sociology),"Honolulu, HI",Number of olympic medals this Athlete has won,0,1,0
Nicole Ahsinger,"Olympian 2016, 2020",Gymnastics,"University of Louisiana at Lafayette ‘20, Broadcasting","San Diego, CA",27,0,0,0
Morolake Akinosun,Olympian 2016,Track and Field,"Waubonsie Valley High School (Aurora, Ill.) ‘12 University of Texas ’16, Exercise Science","Aurora, IL",31,1,0,0
Foluke Akinradewo Gunderson,"Olympian 2012, 2016, 2020",Volleyball,"Stanford University ‘09, Human Biology","Fort Lauderdale, FL",38,1,1,1
Nia Akins,Olympian 2024,Track and Field,University of Pennslyvania,"San Diego, CA",27,0,0,0
Spencer Akira Howe,Olympian 2026,Qualified | Milano Cortina 2026,Figure Skating,"Los Angeles, CA",29,0,0,0
Monica Aksamit,Olympian 2016,Fencing,"Matawan Regional High School (Matawan, N.J.) '08 Penn State University ’16, Kinesiology","Matawan, NJ",36,0,0,1
Korbin Albert,Olympian 2024,Soccer,University of Notre Dame,"Grayslake, IL",22,1,0,0
